,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
24,IndiGo,27/10/2021,Mumbai,Bengaluru,17:45,19:25,Non stop,"₹ 5,103"
25,IndiGo,27/10/2021,Mumbai,Bengaluru,19:25,21:10,Non stop,"₹ 5,103"
26,IndiGo,27/10/2021,Mumbai,Bengaluru,20:45,22:35,Non stop,"₹ 5,103"
27,Vistara,27/10/2021,Mumbai,Bengaluru,07:00,08:50,Non stop,"₹ 5,104"
28,AirAsia,27/10/2021,Mumbai,Bengaluru,12:15,14:00,Non stop,"₹ 5,104"
29,Vistara,27/10/2021,Mumbai,Bengaluru,16:00,17:45,Non stop,"₹ 5,104"
30,Vistara,27/10/2021,Mumbai,Bengaluru,19:10,20:55,Non stop,"₹ 5,104"
31,AirAsia,27/10/2021,Mumbai,Bengaluru,20:50,22:25,Non stop,"₹ 5,104"
32,Vistara,27/10/2021,Mumbai,Bengaluru,21:00,22:50,Non stop,"₹ 5,104"
33,Vistara,27/10/2021,Mumbai,Bengaluru,09:05,10:45,Non stop,"₹ 5,209"
34,IndiGo,27/10/2021,Mumbai,Bengaluru,13:45,19:50,1 stop via Hyderabad,"₹ 7,991"
35,IndiGo,27/10/2021,Mumbai,Bengaluru,13:45,19:50,1 stop via Hyderabad,"₹ 7,991"
36,IndiGo,27/10/2021,Mumbai,Bengaluru,16:25,21:10,1 stop via Hyderabad,"₹ 7,991"
37,IndiGo,27/10/2021,Mumbai,Bengaluru,18:15,22:35,1 stop via Hyderabad,"₹ 7,991"
38,IndiGo,27/10/2021,Mumbai,Bengaluru,12:05,17:40,1 stop via Hyderabad,"₹ 8,043"
39,IndiGo,27/10/2021,Mumbai,Bengaluru,07:25,13:25,1 stop via Goa,"₹ 8,096"
40,IndiGo,27/10/2021,Mumbai,Bengaluru,18:05,22:35,1 stop via Goa,"₹ 8,096"
41,IndiGo,27/10/2021,Mumbai,Bengaluru,16:45,22:35,1 stop via Goa,"₹ 8,096"
42,Vistara,27/10/2021,Mumbai,Bengaluru,10:15,16:00,1 stop via Goa,"₹ 8,148"
43,IndiGo,27/10/2021,Mumbai,Bengaluru,09:00,13:25,1 stop via Goa,"₹ 8,201"
44,IndiGo,27/10/2021,Mumbai,Bengaluru,10:05,14:15,1 stop via Goa,"₹ 8,201"
45,Vistara,27/10/2021,Mumbai,Bengaluru,11:25,16:00,1 stop via Goa,"₹ 8,201"
46,IndiGo,27/10/2021,Mumbai,Bengaluru,15:50,21:05,1 stop via Mangalore,"₹ 8,516"
47,IndiGo,27/10/2021,Mumbai,Bengaluru,10:20,15:25,1 stop via Chennai,"₹ 8,883"
48,IndiGo,27/10/2021,Mumbai,Bengaluru,13:00,17:45,1 stop via Chennai,"₹ 8,883"
49,IndiGo,27/10/2021,Mumbai,Bengaluru,06:45,12:00,1 stop via Chennai,"₹ 8,936"
50,Air India,27/10/2021,Mumbai,Bengaluru,09:30,11:10,Non stop,"₹ 14,238"
0,AirAsia,28/10/2021,Mumbai,Bengaluru,08:00,16:35,"2 stop via Goa,Hyderabad","₹ 5,100"
1,AirAsia,28/10/2021,Mumbai,Bengaluru,08:00,16:35,"2 stop via Goa,Hyderabad","₹ 5,100"
2,AirAsia,28/10/2021,Mumbai,Bengaluru,11:40,21:30,1 stop via New Delhi,"₹ 5,100"
3,AirAsia,28/10/2021,Mumbai,Bengaluru,14:55,22:25,1 stop via Kochi,"₹ 5,100"
4,AirAsia,28/10/2021,Mumbai,Bengaluru,16:35,01:00,1 stop via Hyderabad,"₹ 5,100"
5,AirAsia,28/10/2021,Mumbai,Bengaluru,16:35,11:30,"2 stop via Hyderabad,Kolkata","₹ 5,100"
6,Go First,28/10/2021,Mumbai,Bengaluru,06:05,07:45,Non stop,"₹ 5,102"
7,Go First,28/10/2021,Mumbai,Bengaluru,18:05,19:45,Non stop,"₹ 5,102"
8,Go First,28/10/2021,Mumbai,Bengaluru,21:15,22:55,Non stop,"₹ 5,102"
9,Go First,28/10/2021,Mumbai,Bengaluru,22:15,00:05,Non stop,"₹ 5,102"
10,Go First,28/10/2021,Mumbai,Bengaluru,05:35,13:25,1 stop via Goa,"₹ 5,102"
11,Go First,28/10/2021,Mumbai,Bengaluru,05:35,13:25,1 stop via Goa,"₹ 5,102"
12,Spicejet,28/10/2021,Mumbai,Bengaluru,07:20,16:55,1 stop via Goa,"₹ 5,102"
13,Go First,28/10/2021,Mumbai,Bengaluru,13:55,20:50,1 stop via Ranchi,"₹ 5,102"
14,Go First,28/10/2021,Mumbai,Bengaluru,16:00,22:15,1 stop via Ahmedabad,"₹ 5,102"
15,Go First,28/10/2021,Mumbai,Bengaluru,11:50,22:15,1 stop via Ahmedabad,"₹ 5,102"
16,Go First,28/10/2021,Mumbai,Bengaluru,15:45,22:20,1 stop via New Delhi,"₹ 5,102"
17,Go First,28/10/2021,Mumbai,Bengaluru,13:50,22:20,1 stop via New Delhi,"₹ 5,102"
18,Go First,28/10/2021,Mumbai,Bengaluru,16:10,23:40,1 stop via Jaipur,"₹ 5,102"
19,Go First,28/10/2021,Mumbai,Bengaluru,22:15,08:20,1 stop via New Delhi,"₹ 5,102"
20,IndiGo,28/10/2021,Mumbai,Bengaluru,05:10,06:45,Non stop,"₹ 5,103"
21,Air India,28/10/2021,Mumbai,Bengaluru,06:15,07:55,Non stop,"₹ 5,103"
22,IndiGo,28/10/2021,Mumbai,Bengaluru,07:05,09:00,Non stop,"₹ 5,103"
23,IndiGo,28/10/2021,Mumbai,Bengaluru,08:35,10:15,Non stop,"₹ 5,103"
24,Air India,28/10/2021,Mumbai,Bengaluru,09:30,11:10,Non stop,"₹ 5,103"
25,IndiGo,28/10/2021,Mumbai,Bengaluru,09:55,11:40,Non stop,"₹ 5,103"
26,IndiGo,28/10/2021,Mumbai,Bengaluru,15:00,16:45,Non stop,"₹ 5,103"
27,IndiGo,28/10/2021,Mumbai,Bengaluru,16:30,18:15,Non stop,"₹ 5,103"
28,Air India,28/10/2021,Mumbai,Bengaluru,16:45,18:30,Non stop,"₹ 5,103"
29,IndiGo,28/10/2021,Mumbai,Bengaluru,17:45,19:25,Non stop,"₹ 5,103"
30,IndiGo,28/10/2021,Mumbai,Bengaluru,19:25,21:10,Non stop,"₹ 5,103"
31,IndiGo,28/10/2021,Mumbai,Bengaluru,20:45,22:35,Non stop,"₹ 5,103"
32,Vistara,28/10/2021,Mumbai,Bengaluru,07:00,08:50,Non stop,"₹ 5,104"
33,AirAsia,28/10/2021,Mumbai,Bengaluru,12:15,14:00,Non stop,"₹ 5,104"
34,Vistara,28/10/2021,Mumbai,Bengaluru,16:00,17:45,Non stop,"₹ 5,104"
35,Vistara,28/10/2021,Mumbai,Bengaluru,19:10,20:55,Non stop,"₹ 5,104"
36,AirAsia,28/10/2021,Mumbai,Bengaluru,20:15,22:00,Non stop,"₹ 5,104"
37,AirAsia,28/10/2021,Mumbai,Bengaluru,20:50,22:25,Non stop,"₹ 5,104"
38,Vistara,28/10/2021,Mumbai,Bengaluru,21:00,22:50,Non stop,"₹ 5,104"
39,IndiGo,28/10/2021,Mumbai,Bengaluru,13:45,15:25,Non stop,"₹ 5,313"
40,Vistara,28/10/2021,Mumbai,Bengaluru,09:05,10:45,Non stop,"₹ 5,419"
41,IndiGo,28/10/2021,Mumbai,Bengaluru,15:15,21:55,1 stop via Hubli,"₹ 7,203"
42,IndiGo,28/10/2021,Mumbai,Bengaluru,15:15,21:55,1 stop via Hubli,"₹ 7,203"
43,IndiGo,28/10/2021,Mumbai,Bengaluru,12:05,16:25,1 stop via Hyderabad,"₹ 7,991"
44,IndiGo,28/10/2021,Mumbai,Bengaluru,10:35,16:25,1 stop via Hyderabad,"₹ 7,991"
45,IndiGo,28/10/2021,Mumbai,Bengaluru,16:25,21:10,1 stop via Hyderabad,"₹ 7,991"
46,IndiGo,28/10/2021,Mumbai,Bengaluru,19:15,00:05,1 stop via Hyderabad,"₹ 7,991"
47,IndiGo,28/10/2021,Mumbai,Bengaluru,18:15,00:05,1 stop via Hyderabad,"₹ 7,991"
48,Go First,28/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 8,043"
49,IndiGo,28/10/2021,Mumbai,Bengaluru,15:50,21:05,1 stop via Mangalore,"₹ 8,043"
50,Air India,28/10/2021,Mumbai,Bengaluru,05:45,11:20,1 stop via Hyderabad,"₹ 8,148"
51,IndiGo,28/10/2021,Mumbai,Bengaluru,18:05,22:35,1 stop via Goa,"₹ 8,201"
52,Vistara,28/10/2021,Mumbai,Bengaluru,11:25,16:00,1 stop via Goa,"₹ 8,568"
53,IndiGo,28/10/2021,Mumbai,Bengaluru,09:00,13:25,1 stop via Goa,"₹ 8,621"
0,AirAsia,29/10/2021,Mumbai,Bengaluru,05:55,16:35,"2 stop via Goa,Hyderabad","₹ 5,100"
1,AirAsia,29/10/2021,Mumbai,Bengaluru,05:55,16:35,"2 stop via Goa,Hyderabad","₹ 5,100"
2,AirAsia,29/10/2021,Mumbai,Bengaluru,08:00,19:05,1 stop via Kolkata,"₹ 5,100"
3,AirAsia,29/10/2021,Mumbai,Bengaluru,14:55,22:25,1 stop via Kochi,"₹ 5,100"
4,Go First,29/10/2021,Mumbai,Bengaluru,06:05,07:45,Non stop,"₹ 5,102"
5,Go First,29/10/2021,Mumbai,Bengaluru,21:15,22:55,Non stop,"₹ 5,102"
6,Go First,29/10/2021,Mumbai,Bengaluru,22:15,00:05,Non stop,"₹ 5,102"
7,Go First,29/10/2021,Mumbai,Bengaluru,07:40,15:20,1 stop via Kolkata,"₹ 5,102"
8,Go First,29/10/2021,Mumbai,Bengaluru,07:40,15:20,1 stop via Kolkata,"₹ 5,102"
9,Spicejet,29/10/2021,Mumbai,Bengaluru,07:15,16:55,1 stop via Goa,"₹ 5,102"
10,Go First,29/10/2021,Mumbai,Bengaluru,13:55,20:50,1 stop via Ranchi,"₹ 5,102"
11,Go First,29/10/2021,Mumbai,Bengaluru,16:00,22:15,1 stop via Ahmedabad,"₹ 5,102"
12,Go First,29/10/2021,Mumbai,Bengaluru,11:50,22:15,1 stop via Ahmedabad,"₹ 5,102"
13,Go First,29/10/2021,Mumbai,Bengaluru,16:10,23:40,1 stop via Jaipur,"₹ 5,102"
14,Go First,29/10/2021,Mumbai,Bengaluru,08:30,23:40,1 stop via Jaipur,"₹ 5,102"
15,IndiGo,29/10/2021,Mumbai,Bengaluru,05:10,06:45,Non stop,"₹ 5,103"
16,Air India,29/10/2021,Mumbai,Bengaluru,06:15,07:55,Non stop,"₹ 5,103"
17,Air India,29/10/2021,Mumbai,Bengaluru,09:30,11:10,Non stop,"₹ 5,103"
18,Air India,29/10/2021,Mumbai,Bengaluru,17:15,19:00,Non stop,"₹ 5,103"
19,Vistara,29/10/2021,Mumbai,Bengaluru,07:00,08:50,Non stop,"₹ 5,104"
20,Vistara,29/10/2021,Mumbai,Bengaluru,09:05,10:45,Non stop,"₹ 5,104"
21,AirAsia,29/10/2021,Mumbai,Bengaluru,12:15,14:00,Non stop,"₹ 5,104"
22,AirAsia,29/10/2021,Mumbai,Bengaluru,20:15,22:00,Non stop,"₹ 5,104"
23,AirAsia,29/10/2021,Mumbai,Bengaluru,20:50,22:25,Non stop,"₹ 5,104"
24,AirAsia,29/10/2021,Mumbai,Bengaluru,22:50,00:40,Non stop,"₹ 5,104"
25,IndiGo,29/10/2021,Mumbai,Bengaluru,07:05,09:00,Non stop,"₹ 5,208"
26,IndiGo,29/10/2021,Mumbai,Bengaluru,08:35,10:15,Non stop,"₹ 5,208"
27,IndiGo,29/10/2021,Mumbai,Bengaluru,09:55,11:40,Non stop,"₹ 5,208"
28,IndiGo,29/10/2021,Mumbai,Bengaluru,15:00,16:45,Non stop,"₹ 5,208"
29,Vistara,29/10/2021,Mumbai,Bengaluru,21:00,22:50,Non stop,"₹ 5,209"
30,IndiGo,29/10/2021,Mumbai,Bengaluru,13:45,15:25,Non stop,"₹ 5,628"
31,Go First,29/10/2021,Mumbai,Bengaluru,18:05,19:45,Non stop,"₹ 5,680"
32,IndiGo,29/10/2021,Mumbai,Bengaluru,16:30,18:15,Non stop,"₹ 5,838"
33,IndiGo,29/10/2021,Mumbai,Bengaluru,20:45,22:35,Non stop,"₹ 6,258"
34,IndiGo,29/10/2021,Mumbai,Bengaluru,17:45,19:25,Non stop,"₹ 6,783"
35,IndiGo,29/10/2021,Mumbai,Bengaluru,19:25,21:10,Non stop,"₹ 6,783"
36,AirAsia,29/10/2021,Mumbai,Bengaluru,11:40,18:55,1 stop via New Delhi,"₹ 6,784"
37,Vistara,29/10/2021,Mumbai,Bengaluru,16:00,17:45,Non stop,"₹ 7,046"
38,Vistara,29/10/2021,Mumbai,Bengaluru,19:10,20:55,Non stop,"₹ 7,046"
39,IndiGo,29/10/2021,Mumbai,Bengaluru,12:05,16:25,1 stop via Hyderabad,"₹ 7,991"
40,IndiGo,29/10/2021,Mumbai,Bengaluru,12:05,16:25,1 stop via Hyderabad,"₹ 7,991"
41,IndiGo,29/10/2021,Mumbai,Bengaluru,10:35,16:25,1 stop via Hyderabad,"₹ 7,991"
42,IndiGo,29/10/2021,Mumbai,Bengaluru,19:15,00:05,1 stop via Hyderabad,"₹ 8,043"
43,IndiGo,29/10/2021,Mumbai,Bengaluru,18:15,00:05,1 stop via Hyderabad,"₹ 8,043"
44,Air India,29/10/2021,Mumbai,Bengaluru,05:45,11:20,1 stop via Hyderabad,"₹ 8,148"
45,IndiGo,29/10/2021,Mumbai,Bengaluru,07:25,13:25,1 stop via Goa,"₹ 8,201"
46,IndiGo,29/10/2021,Mumbai,Bengaluru,13:45,19:50,1 stop via Hyderabad,"₹ 8,568"
47,IndiGo,29/10/2021,Mumbai,Bengaluru,16:25,21:10,1 stop via Hyderabad,"₹ 8,568"
48,IndiGo,29/10/2021,Mumbai,Bengaluru,18:15,22:35,1 stop via Hyderabad,"₹ 8,568"
49,IndiGo,29/10/2021,Mumbai,Bengaluru,16:45,22:35,1 stop via Goa,"₹ 8,621"
50,IndiGo,29/10/2021,Mumbai,Bengaluru,18:05,22:35,1 stop via Goa,"₹ 8,831"
51,IndiGo,29/10/2021,Mumbai,Bengaluru,06:45,12:00,1 stop via Chennai,"₹ 8,936"
52,IndiGo,29/10/2021,Mumbai,Bengaluru,10:20,15:25,1 stop via Chennai,"₹ 9,146"
53,IndiGo,29/10/2021,Mumbai,Bengaluru,13:00,17:45,1 stop via Chennai,"₹ 9,146"
54,IndiGo,29/10/2021,Mumbai,Bengaluru,15:50,21:05,1 stop via Mangalore,"₹ 9,146"
55,Go First,29/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 10,039"
56,Vistara,29/10/2021,Mumbai,Bengaluru,11:25,16:00,1 stop via Goa,"₹ 10,406"
0,AirAsia,30/10/2021,Mumbai,Bengaluru,05:55,18:20,1 stop via Goa,"₹ 5,100"
1,AirAsia,30/10/2021,Mumbai,Bengaluru,16:35,01:00,1 stop via Hyderabad,"₹ 5,100"
2,Go First,30/10/2021,Mumbai,Bengaluru,21:15,22:55,Non stop,"₹ 5,102"
3,Go First,30/10/2021,Mumbai,Bengaluru,22:15,00:05,Non stop,"₹ 5,102"
4,Go First,30/10/2021,Mumbai,Bengaluru,11:50,22:15,1 stop via Ahmedabad,"₹ 5,102"
5,Go First,30/10/2021,Mumbai,Bengaluru,11:50,22:15,1 stop via Ahmedabad,"₹ 5,102"
6,Go First,30/10/2021,Mumbai,Bengaluru,07:00,22:15,1 stop via Ahmedabad,"₹ 5,102"
7,Go First,30/10/2021,Mumbai,Bengaluru,16:10,23:40,1 stop via Jaipur,"₹ 5,102"
8,Spicejet,30/10/2021,Mumbai,Bengaluru,07:20,09:00,1 stop via Goa,"₹ 5,102"
9,Vistara,30/10/2021,Mumbai,Bengaluru,06:00,07:50,Non stop,"₹ 5,104"
10,AirAsia,30/10/2021,Mumbai,Bengaluru,20:50,22:25,Non stop,"₹ 5,104"
11,Vistara,30/10/2021,Mumbai,Bengaluru,21:00,22:50,Non stop,"₹ 5,104"
12,AirAsia,30/10/2021,Mumbai,Bengaluru,22:50,00:40,Non stop,"₹ 5,104"
13,Air India,30/10/2021,Mumbai,Bengaluru,06:15,07:55,Non stop,"₹ 5,418"
14,Spicejet,30/10/2021,Mumbai,Bengaluru,07:20,16:55,1 stop via Goa,"₹ 5,418"
15,AirAsia,30/10/2021,Mumbai,Bengaluru,08:00,18:20,1 stop via Goa,"₹ 5,418"
16,Vistara,30/10/2021,Mumbai,Bengaluru,19:10,20:55,Non stop,"₹ 5,996"
17,AirAsia,30/10/2021,Mumbai,Bengaluru,05:55,16:35,"2 stop via Goa,Hyderabad","₹ 5,996"
18,IndiGo,30/10/2021,Mumbai,Bengaluru,05:10,06:45,Non stop,"₹ 6,258"
19,Go First,30/10/2021,Mumbai,Bengaluru,06:05,07:45,Non stop,"₹ 6,258"
20,Go First,30/10/2021,Mumbai,Bengaluru,18:05,19:45,Non stop,"₹ 6,258"
21,IndiGo,30/10/2021,Mumbai,Bengaluru,20:45,22:35,Non stop,"₹ 6,258"
22,IndiGo,30/10/2021,Mumbai,Bengaluru,07:05,09:00,Non stop,"₹ 6,783"
23,IndiGo,30/10/2021,Mumbai,Bengaluru,17:45,19:25,Non stop,"₹ 6,783"
24,IndiGo,30/10/2021,Mumbai,Bengaluru,19:25,21:10,Non stop,"₹ 6,783"
25,AirAsia,30/10/2021,Mumbai,Bengaluru,08:00,16:35,"2 stop via Goa,Hyderabad","₹ 6,784"
26,Vistara,30/10/2021,Mumbai,Bengaluru,07:00,08:50,Non stop,"₹ 7,046"
27,Vistara,30/10/2021,Mumbai,Bengaluru,09:05,10:45,Non stop,"₹ 7,571"
28,AirAsia,30/10/2021,Mumbai,Bengaluru,12:15,14:00,Non stop,"₹ 7,807"
29,IndiGo,30/10/2021,Mumbai,Bengaluru,08:35,10:15,Non stop,"₹ 7,938"
30,IndiGo,30/10/2021,Mumbai,Bengaluru,13:45,15:25,Non stop,"₹ 7,938"
31,IndiGo,30/10/2021,Mumbai,Bengaluru,16:30,18:15,Non stop,"₹ 7,938"
32,AirAsia,30/10/2021,Mumbai,Bengaluru,14:55,20:25,1 stop via Kochi,"₹ 7,990"
33,AirAsia,30/10/2021,Mumbai,Bengaluru,14:55,20:25,1 stop via Kochi,"₹ 7,990"
34,IndiGo,30/10/2021,Mumbai,Bengaluru,19:15,00:05,1 stop via Hyderabad,"₹ 7,991"
35,IndiGo,30/10/2021,Mumbai,Bengaluru,18:15,00:05,1 stop via Hyderabad,"₹ 7,991"
36,IndiGo,30/10/2021,Mumbai,Bengaluru,18:15,22:35,1 stop via Hyderabad,"₹ 8,043"
37,IndiGo,30/10/2021,Mumbai,Bengaluru,18:05,22:35,1 stop via Goa,"₹ 8,096"
38,IndiGo,30/10/2021,Mumbai,Bengaluru,16:45,22:35,1 stop via Goa,"₹ 8,096"
39,IndiGo,30/10/2021,Mumbai,Bengaluru,14:25,22:35,1 stop via Goa,"₹ 8,096"
40,Vistara,30/10/2021,Mumbai,Bengaluru,16:00,17:45,Non stop,"₹ 8,306"
41,Air India,30/10/2021,Mumbai,Bengaluru,09:30,11:10,Non stop,"₹ 8,358"
42,IndiGo,30/10/2021,Mumbai,Bengaluru,07:25,13:25,1 stop via Goa,"₹ 8,621"
43,IndiGo,30/10/2021,Mumbai,Bengaluru,09:55,11:40,Non stop,"₹ 9,093"
44,IndiGo,30/10/2021,Mumbai,Bengaluru,12:05,17:40,1 stop via Hyderabad,"₹ 9,093"
45,IndiGo,30/10/2021,Mumbai,Bengaluru,12:05,17:40,1 stop via Hyderabad,"₹ 9,093"
46,IndiGo,30/10/2021,Mumbai,Bengaluru,07:20,14:15,1 stop via Hyderabad,"₹ 9,566"
47,IndiGo,30/10/2021,Mumbai,Bengaluru,16:25,21:10,1 stop via Hyderabad,"₹ 9,671"
48,IndiGo,30/10/2021,Mumbai,Bengaluru,13:45,19:50,1 stop via Hyderabad,"₹ 9,723"
49,Vistara,30/10/2021,Mumbai,Bengaluru,11:25,16:00,1 stop via Goa,"₹ 10,406"
50,Go First,30/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 11,403"
